county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
Santa Barbara,3406.0,29.0,21,0,2020-07-03
Santa Barbara,3520.0,29.0,114,0,2020-07-04
Santa Barbara,3671.0,29.0,151,0,2020-07-05
Santa Barbara,3763.0,29.0,92,0,2020-07-06
Santa Barbara,3866.0,30.0,103,1,2020-07-07
Santa Barbara,3985.0,29.0,119,-1,2020-07-08
Santa Barbara,4068.0,29.0,83,0,2020-07-09
Santa Barbara,4177.0,31.0,109,2,2020-07-10
Santa Barbara,4283.0,31.0,106,0,2020-07-11
Santa Barbara,4353.0,31.0,70,0,2020-07-12
Santa Barbara,4441.0,31.0,88,0,2020-07-13
Santa Barbara,4641.0,31.0,200,0,2020-07-14
Santa Barbara,4733.0,31.0,92,0,2020-07-15
Santa Barbara,4872.0,32.0,139,1,2020-07-16
Santa Barbara,5001.0,32.0,129,0,2020-07-17
Orange,38.0,0.0,38,0,2020-03-18
Orange,59.0,0.0,21,0,2020-03-19
Orange,71.0,0.0,12,0,2020-03-20
Orange,85.0,0.0,14,0,2020-03-21
Orange,102.0,0.0,17,0,2020-03-22
Orange,138.0,0.0,36,0,2020-03-23
Orange,166.0,0.0,28,0,2020-03-24
Orange,214.0,1.0,48,1,2020-03-25
Orange,279.0,1.0,65,0,2020-03-26
Orange,299.0,2.0,20,1,2020-03-27
Orange,328.0,2.0,29,0,2020-03-28
Orange,343.0,2.0,15,0,2020-03-29
Orange,418.0,5.0,75,3,2020-03-30
Orange,506.0,7.0,88,2,2020-03-31
Orange,579.0,11.0,73,4,2020-04-01
Orange,640.0,12.0,61,1,2020-04-02
Orange,713.0,13.0,73,1,2020-04-03
Orange,781.0,15.0,68,2,2020-04-04
Orange,820.0,15.0,39,0,2020-04-05
Orange,910.0,17.0,90,2,2020-04-06
Orange,971.0,19.0,61,2,2020-04-07
Orange,1034.0,19.0,63,0,2020-04-08
Orange,1105.0,19.0,71,0,2020-04-09
Orange,1167.0,17.0,62,-2,2020-04-10
Orange,1267.0,21.0,100,4,2020-04-11
Orange,1283.0,21.0,16,0,2020-04-12
Orange,1313.0,21.0,30,0,2020-04-13
Orange,1362.0,21.0,49,0,2020-04-14
Orange,1377.0,22.0,15,1,2020-04-15
Orange,1439.0,26.0,62,4,2020-04-16
Orange,1496.0,28.0,57,2,2020-04-17
Orange,1569.0,32.0,73,4,2020-04-18
Orange,1591.0,32.0,22,0,2020-04-19
Orange,1679.0,33.0,88,1,2020-04-20
Orange,1717.0,33.0,38,0,2020-04-21
Orange,1785.0,34.0,68,1,2020-04-22
Orange,1841.0,36.0,56,2,2020-04-23
Orange,1945.0,39.0,104,3,2020-04-24
Orange,2047.0,39.0,102,0,2020-04-25
Orange,2124.0,40.0,77,1,2020-04-26
Orange,2198.0,42.0,74,2,2020-04-27
Orange,2324.0,42.0,126,0,2020-04-28
Orange,2421.0,44.0,97,2,2020-04-29
Orange,2591.0,46.0,170,2,2020-04-30
Orange,2660.0,51.0,69,5,2020-05-01
Orange,2774.0,52.0,114,1,2020-05-02
Orange,2859.0,55.0,85,3,2020-05-03
Orange,2931.0,57.0,72,2,2020-05-04
Orange,3041.0,61.0,110,4,2020-05-05
Orange,3156.0,65.0,115,4,2020-05-06
Orange,3283.0,66.0,127,1,2020-05-07
Orange,3395.0,72.0,112,6,2020-05-08
Orange,3506.0,75.0,111,3,2020-05-09
Orange,3627.0,76.0,121,1,2020-05-10
Orange,3699.0,78.0,72,2,2020-05-11
Orange,3843.0,78.0,144,0,2020-05-12
Orange,4025.0,80.0,182,2,2020-05-13
Orange,4163.0,80.0,138,0,2020-05-14
Orange,4281.0,84.0,118,4,2020-05-15
Orange,4396.0,87.0,115,3,2020-05-16
Orange,4466.0,88.0,70,1,2020-05-17
Orange,4558.0,88.0,92,0,2020-05-18
Orange,4746.0,88.0,188,0,2020-05-19
Orange,4866.0,98.0,120,10,2020-05-20
Orange,4975.0,112.0,109,14,2020-05-21
Orange,5144.0,118.0,169,6,2020-05-22
Orange,5313.0,130.0,169,12,2020-05-23
Orange,5439.0,131.0,126,1,2020-05-24
Orange,5601.0,131.0,162,0,2020-05-25
Orange,5651.0,131.0,50,0,2020-05-26
Orange,5849.0,136.0,198,5,2020-05-27
Orange,6045.0,142.0,196,6,2020-05-28
Orange,6176.0,145.0,131,3,2020-05-29
Orange,6354.0,146.0,178,1,2020-05-30
Orange,6532.0,147.0,178,1,2020-05-31
Orange,6640.0,147.0,108,0,2020-06-01
Orange,6790.0,150.0,150,3,2020-06-02
Orange,6939.0,158.0,149,8,2020-06-03
Orange,7192.0,165.0,253,7,2020-06-04
Orange,7391.0,174.0,199,9,2020-06-05
Orange,7576.0,176.0,185,2,2020-06-06
Orange,7643.0,177.0,67,1,2020-06-07
Orange,7786.0,177.0,143,0,2020-06-08
Orange,7991.0,185.0,205,8,2020-06-09
Orange,8222.0,198.0,231,13,2020-06-10
Orange,8304.0,202.0,82,4,2020-06-11
Orange,8440.0,210.0,136,8,2020-06-12
Orange,8581.0,217.0,141,7,2020-06-13
Orange,8744.0,221.0,163,4,2020-06-14
Orange,8944.0,221.0,200,0,2020-06-15
Orange,9163.0,233.0,219,12,2020-06-16
Orange,9278.0,244.0,115,11,2020-06-17
Orange,9597.0,250.0,319,6,2020-06-18
Orange,9972.0,257.0,375,7,2020-06-19
Orange,10284.0,267.0,312,10,2020-06-20
Orange,10563.0,269.0,279,2,2020-06-21
Orange,10711.0,275.0,148,6,2020-06-22
Orange,11071.0,275.0,360,0,2020-06-23
Orange,11804.0,299.0,733,24,2020-06-24
Orange,12302.0,306.0,498,7,2020-06-25
Orange,12768.0,323.0,466,17,2020-06-26
Orange,13091.0,323.0,323,0,2020-06-27
Orange,13589.0,326.0,498,3,2020-06-28
Orange,14552.0,330.0,963,4,2020-06-29
Orange,15201.0,340.0,649,10,2020-06-30
Orange,17035.0,345.0,1834,5,2020-07-01
Orange,17056.0,354.0,21,9,2020-07-02
Orange,18819.0,360.0,1763,6,2020-07-03
Orange,19247.0,363.0,428,3,2020-07-04
Orange,19430.0,366.0,183,3,2020-07-05
Orange,20167.0,366.0,737,0,2020-07-06
Orange,21741.0,369.0,1574,3,2020-07-07
Orange,22088.0,376.0,347,7,2020-07-08
Orange,22960.0,402.0,872,26,2020-07-09
Orange,23692.0,412.0,732,10,2020-07-10
Orange,24430.0,421.0,738,9,2020-07-11
Orange,25399.0,423.0,969,2,2020-07-12
Orange,25978.0,424.0,579,1,2020-07-13
Orange,26915.0,433.0,937,9,2020-07-14
Orange,27718.0,455.0,803,22,2020-07-15
Orange,28525.0,466.0,807,11,2020-07-16
Orange,28962.0,469.0,437,3,2020-07-17
Ventura,11.0,0.0,11,0,2020-03-18
Ventura,15.0,0.0,4,0,2020-03-19
Ventura,18.0,0.0,3,0,2020-03-20
Ventura,22.0,0.0,4,0,2020-03-21
Ventura,26.0,0.0,4,0,2020-03-22
Ventura,30.0,0.0,4,0,2020-03-23
Ventura,44.0,1.0,14,1,2020-03-24
Ventura,53.0,1.0,9,0,2020-03-25
Ventura,70.0,1.0,17,0,2020-03-26
Ventura,80.0,2.0,10,1,2020-03-27
Ventura,89.0,2.0,9,0,2020-03-28
Ventura,92.0,2.0,3,0,2020-03-29
Ventura,118.0,2.0,26,0,2020-03-30
Ventura,143.0,4.0,25,2,2020-03-31
Ventura,154.0,5.0,11,1,2020-04-01
Ventura,178.0,5.0,24,0,2020-04-02
Ventura,186.0,6.0,8,1,2020-04-03
Ventura,194.0,6.0,8,0,2020-04-04
Ventura,196.0,6.0,2,0,2020-04-05
Ventura,234.0,6.0,38,0,2020-04-06
Ventura,247.0,6.0,13,0,2020-04-07
Ventura,263.0,7.0,16,1,2020-04-08
Ventura,273.0,9.0,10,2,2020-04-09
Ventura,290.0,9.0,17,0,2020-04-10
Ventura,304.0,9.0,14,0,2020-04-11
Ventura,306.0,9.0,2,0,2020-04-12
Ventura,311.0,9.0,5,0,2020-04-13
Ventura,328.0,10.0,17,1,2020-04-14
Ventura,365.0,13.0,37,3,2020-04-15
Ventura,384.0,13.0,19,0,2020-04-16
Ventura,398.0,13.0,14,0,2020-04-17
Ventura,416.0,13.0,18,0,2020-04-18
Ventura,418.0,13.0,2,0,2020-04-19
Ventura,426.0,13.0,8,0,2020-04-20
Ventura,455.0,13.0,29,0,2020-04-21
Ventura,465.0,14.0,10,1,2020-04-22
Ventura,479.0,16.0,14,2,2020-04-23
Ventura,489.0,16.0,10,0,2020-04-24
Ventura,494.0,16.0,5,0,2020-04-25
Ventura,509.0,17.0,15,1,2020-04-26
Ventura,513.0,17.0,4,0,2020-04-27
Ventura,517.0,17.0,4,0,2020-04-28
Ventura,530.0,18.0,13,1,2020-04-29
Ventura,547.0,18.0,17,0,2020-04-30
Ventura,556.0,18.0,9,0,2020-05-01
Ventura,564.0,19.0,8,1,2020-05-02
Ventura,583.0,19.0,19,0,2020-05-03
Ventura,590.0,19.0,7,0,2020-05-04
Ventura,607.0,19.0,17,0,2020-05-05
Ventura,619.0,19.0,12,0,2020-05-06
Ventura,647.0,19.0,28,0,2020-05-07
Ventura,665.0,19.0,18,0,2020-05-08
Ventura,679.0,19.0,14,0,2020-05-09
Ventura,690.0,19.0,11,0,2020-05-10
Ventura,698.0,19.0,8,0,2020-05-11
Ventura,718.0,19.0,20,0,2020-05-12
Ventura,742.0,24.0,24,5,2020-05-13
Ventura,760.0,25.0,18,1,2020-05-14
Ventura,789.0,25.0,29,0,2020-05-15
Ventura,813.0,25.0,24,0,2020-05-16
Ventura,838.0,25.0,25,0,2020-05-17
Ventura,850.0,27.0,12,2,2020-05-18
Ventura,861.0,28.0,11,1,2020-05-19
Ventura,879.0,28.0,18,0,2020-05-20
Ventura,907.0,29.0,28,1,2020-05-21
Ventura,937.0,30.0,30,1,2020-05-22
Ventura,961.0,30.0,24,0,2020-05-23
Ventura,982.0,30.0,21,0,2020-05-24
Ventura,1020.0,30.0,38,0,2020-05-25
Ventura,1033.0,30.0,13,0,2020-05-26
Ventura,1065.0,32.0,32,2,2020-05-27
Ventura,1083.0,32.0,18,0,2020-05-28
Ventura,1093.0,32.0,10,0,2020-05-29
Ventura,1116.0,33.0,23,1,2020-05-30
Ventura,1151.0,33.0,35,0,2020-05-31
Ventura,1163.0,34.0,12,1,2020-06-01
Ventura,1178.0,34.0,15,0,2020-06-02
Ventura,1202.0,34.0,24,0,2020-06-03
Ventura,1236.0,35.0,34,1,2020-06-04
Ventura,1274.0,35.0,38,0,2020-06-05
Ventura,1303.0,35.0,29,0,2020-06-06
Ventura,1337.0,35.0,34,0,2020-06-07
Ventura,1382.0,35.0,45,0,2020-06-08
Ventura,1407.0,35.0,25,0,2020-06-09
Ventura,1446.0,38.0,39,3,2020-06-10
Ventura,1491.0,38.0,45,0,2020-06-11
Ventura,1534.0,40.0,43,2,2020-06-12
Ventura,1567.0,40.0,33,0,2020-06-13
Ventura,1610.0,40.0,43,0,2020-06-14
Ventura,1656.0,41.0,46,1,2020-06-15
Ventura,1676.0,41.0,20,0,2020-06-16
Ventura,1729.0,41.0,53,0,2020-06-17
Ventura,1781.0,41.0,52,0,2020-06-18
Ventura,1865.0,42.0,84,1,2020-06-19
Ventura,1946.0,42.0,81,0,2020-06-20
Ventura,2021.0,42.0,75,0,2020-06-21
Ventura,2065.0,43.0,44,1,2020-06-22
Ventura,2209.0,43.0,144,0,2020-06-23
Ventura,2314.0,44.0,105,1,2020-06-24
Ventura,2360.0,44.0,46,0,2020-06-25
Ventura,2467.0,44.0,107,0,2020-06-26
Ventura,2561.0,44.0,94,0,2020-06-27
Ventura,2747.0,44.0,186,0,2020-06-28
Ventura,3002.0,45.0,255,1,2020-06-29
Ventura,3156.0,46.0,154,1,2020-06-30
Ventura,3230.0,46.0,74,0,2020-07-01
Ventura,3394.0,47.0,164,1,2020-07-02
Ventura,3536.0,47.0,142,0,2020-07-03
Ventura,3687.0,47.0,151,0,2020-07-04
Ventura,3866.0,47.0,179,0,2020-07-05
Ventura,3912.0,50.0,46,3,2020-07-06
Ventura,3992.0,50.0,80,0,2020-07-07
Ventura,4139.0,50.0,147,0,2020-07-08
Ventura,4278.0,53.0,139,3,2020-07-09
Ventura,4416.0,53.0,138,0,2020-07-10
Ventura,4545.0,53.0,129,0,2020-07-11
Ventura,4724.0,53.0,179,0,2020-07-12
Ventura,4800.0,53.0,76,0,2020-07-13
Ventura,4950.0,53.0,150,0,2020-07-14
Ventura,5087.0,53.0,137,0,2020-07-15
Ventura,5231.0,56.0,144,3,2020-07-16
Ventura,5451.0,56.0,220,0,2020-07-17
San Diego,40.0,0.0,40,0,2020-03-18
San Diego,68.0,0.0,28,0,2020-03-19
San Diego,98.0,0.0,30,0,2020-03-20
San Diego,119.0,0.0,21,0,2020-03-21
San Diego,159.0,0.0,40,0,2020-03-22
San Diego,176.0,1.0,17,1,2020-03-23
San Diego,229.0,2.0,53,1,2020-03-24
San Diego,236.0,2.0,7,0,2020-03-25
San Diego,297.0,2.0,61,0,2020-03-26
San Diego,419.0,5.0,122,3,2020-03-27
San Diego,490.0,7.0,71,2,2020-03-28
San Diego,521.0,7.0,31,0,2020-03-29
San Diego,605.0,7.0,84,0,2020-03-30
San Diego,736.0,9.0,131,2,2020-03-31
San Diego,851.0,11.0,115,2,2020-04-01
San Diego,968.0,16.0,117,5,2020-04-02
San Diego,1114.0,17.0,146,1,2020-04-03
San Diego,1211.0,18.0,97,1,2020-04-04
San Diego,1328.0,19.0,117,1,2020-04-05
San Diego,1406.0,19.0,78,0,2020-04-06
San Diego,1456.0,31.0,50,12,2020-04-07
San Diego,1532.0,36.0,76,5,2020-04-08
San Diego,1630.0,40.0,98,4,2020-04-09
San Diego,1695.0,54.0,65,14,2020-04-10
San Diego,1763.0,54.0,68,0,2020-04-11
San Diego,1806.0,55.0,43,1,2020-04-12
San Diego,1849.0,66.0,43,11,2020-04-13
San Diego,1932.0,67.0,83,1,2020-04-14
San Diego,2014.0,67.0,82,0,2020-04-15
San Diego,2089.0,77.0,75,10,2020-04-16
San Diego,2160.0,83.0,71,6,2020-04-17
San Diego,2215.0,83.0,55,0,2020-04-18
San Diego,2270.0,83.0,55,0,2020-04-19
San Diego,2327.0,102.0,57,19,2020-04-20
San Diego,2436.0,109.0,109,7,2020-04-21
San Diego,2493.0,112.0,57,3,2020-04-22
San Diego,2645.0,112.0,152,0,2020-04-23
San Diego,2828.0,119.0,183,7,2020-04-24
San Diego,2945.0,119.0,117,0,2020-04-25
San Diego,3045.0,123.0,100,4,2020-04-26
San Diego,3143.0,128.0,98,5,2020-04-27
San Diego,3316.0,133.0,173,5,2020-04-28
San Diego,3434.0,140.0,118,7,2020-04-29
San Diego,3566.0,143.0,132,3,2020-04-30
San Diego,3713.0,150.0,147,7,2020-05-01
San Diego,3844.0,150.0,131,0,2020-05-02
San Diego,3929.0,150.0,85,0,2020-05-03
San Diego,4022.0,162.0,93,12,2020-05-04
San Diego,4162.0,173.0,140,11,2020-05-05
San Diego,4321.0,186.0,159,13,2020-05-06
San Diego,4431.0,189.0,110,3,2020-05-07
San Diego,4664.0,194.0,233,5,2020-05-08
San Diego,4778.0,194.0,114,0,2020-05-09
San Diego,4928.0,194.0,150,0,2020-05-10
San Diego,5067.0,204.0,139,10,2020-05-11
San Diego,5163.0,217.0,96,13,2020-05-12
San Diego,5280.0,223.0,117,6,2020-05-13
San Diego,5393.0,231.0,113,8,2020-05-14
San Diego,5525.0,235.0,132,4,2020-05-15
San Diego,5664.0,235.0,139,0,2020-05-16
San Diego,5838.0,242.0,174,7,2020-05-17
San Diego,5948.0,242.0,110,0,2020-05-18
San Diego,6028.0,242.0,80,0,2020-05-19
San Diego,6142.0,262.0,114,20,2020-05-20
San Diego,6317.0,262.0,175,0,2020-05-21
San Diego,6436.0,271.0,119,9,2020-05-22
San Diego,6561.0,275.0,125,4,2020-05-23
San Diego,6703.0,275.0,142,0,2020-05-24
San Diego,6799.0,275.0,96,0,2020-05-25
San Diego,6884.0,290.0,85,15,2020-05-26
San Diego,6985.0,297.0,101,7,2020-05-27
San Diego,7102.0,307.0,117,10,2020-05-28
San Diego,7242.0,312.0,140,5,2020-05-29
San Diego,7387.0,312.0,145,0,2020-05-30
San Diego,7483.0,312.0,96,0,2020-05-31
San Diego,7556.0,312.0,73,0,2020-06-01
San Diego,7676.0,312.0,120,0,2020-06-02
San Diego,7800.0,312.0,124,0,2020-06-03
San Diego,7942.0,312.0,142,0,2020-06-04
San Diego,8182.0,312.0,240,0,2020-06-05
San Diego,8347.0,312.0,165,0,2020-06-06
San Diego,8478.0,312.0,131,0,2020-06-07
San Diego,8621.0,312.0,143,0,2020-06-08
San Diego,8731.0,312.0,110,0,2020-06-09
San Diego,8839.0,312.0,108,0,2020-06-10
San Diego,9000.0,312.0,161,0,2020-06-11
San Diego,9132.0,312.0,132,0,2020-06-12
San Diego,9316.0,320.0,184,8,2020-06-13
San Diego,9442.0,320.0,126,0,2020-06-14
San Diego,9612.0,320.0,170,0,2020-06-15
San Diego,9732.0,323.0,120,3,2020-06-16
San Diego,9856.0,327.0,124,4,2020-06-17
San Diego,10094.0,331.0,238,4,2020-06-18
San Diego,10352.0,332.0,258,1,2020-06-19
San Diego,10486.0,338.0,134,6,2020-06-20
San Diego,10796.0,338.0,310,0,2020-06-21
San Diego,11098.0,338.0,302,0,2020-06-22
San Diego,11296.0,338.0,198,0,2020-06-23
San Diego,11628.0,347.0,332,9,2020-06-24
San Diego,11963.0,352.0,335,5,2020-06-25
San Diego,12402.0,358.0,439,6,2020-06-26
San Diego,12836.0,360.0,434,2,2020-06-27
San Diego,13333.0,361.0,497,1,2020-06-28
San Diego,13834.0,361.0,501,0,2020-06-29
San Diego,14150.0,365.0,316,4,2020-06-30
San Diego,14626.0,372.0,476,7,2020-07-01
San Diego,15208.0,377.0,582,5,2020-07-02
San Diego,15698.0,387.0,490,10,2020-07-03
San Diego,16166.0,387.0,468,0,2020-07-04
San Diego,16728.0,387.0,562,0,2020-07-05
San Diego,17002.0,387.0,274,0,2020-07-06
San Diego,17580.0,399.0,578,12,2020-07-07
San Diego,17844.0,406.0,264,7,2020-07-08
San Diego,18404.0,415.0,560,9,2020-07-09
San Diego,18862.0,420.0,458,5,2020-07-10
San Diego,19371.0,422.0,509,2,2020-07-11
San Diego,19929.0,422.0,558,0,2020-07-12
San Diego,20348.0,422.0,419,0,2020-07-13
San Diego,20887.0,436.0,539,14,2020-07-14
San Diego,21448.0,448.0,561,12,2020-07-15
San Diego,21857.0,465.0,409,17,2020-07-16
San Diego,22491.0,472.0,634,7,2020-07-17
Los Angeles,47.0,0.0,47,0,2020-03-18
Los Angeles,233.0,0.0,186,0,2020-03-19
Los Angeles,267.0,1.0,34,1,2020-03-20
Los Angeles,322.0,2.0,55,1,2020-03-21
Los Angeles,384.0,3.0,62,1,2020-03-22
Los Angeles,389.0,4.0,5,1,2020-03-23
Los Angeles,633.0,11.0,244,7,2020-03-24
Los Angeles,725.0,10.0,92,-1,2020-03-25
Los Angeles,1075.0,18.0,350,8,2020-03-26
Los Angeles,1474.0,26.0,399,8,2020-03-27
Los Angeles,1800.0,32.0,326,6,2020-03-28
Los Angeles,2119.0,37.0,319,5,2020-03-29
Los Angeles,2467.0,44.0,348,7,2020-03-30
Los Angeles,3001.0,53.0,534,9,2020-03-31
Los Angeles,3502.0,66.0,501,13,2020-04-01
Los Angeles,4040.0,79.0,538,13,2020-04-02
Los Angeles,4566.0,91.0,526,12,2020-04-03
Los Angeles,5275.0,117.0,709,26,2020-04-04
Los Angeles,5892.0,130.0,617,13,2020-04-05
Los Angeles,6346.0,145.0,454,15,2020-04-06
Los Angeles,6885.0,170.0,539,25,2020-04-07
Los Angeles,7505.0,196.0,620,26,2020-04-08
Los Angeles,7919.0,220.0,414,24,2020-04-09
Los Angeles,8384.0,241.0,465,21,2020-04-10
Los Angeles,8823.0,265.0,439,24,2020-04-11
Los Angeles,9133.0,296.0,310,31,2020-04-12
Los Angeles,9367.0,320.0,234,24,2020-04-13
Los Angeles,9948.0,360.0,581,40,2020-04-14
Los Angeles,10416.0,402.0,468,42,2020-04-15
Los Angeles,10786.0,455.0,370,53,2020-04-16
Los Angeles,11354.0,495.0,568,40,2020-04-17
Los Angeles,11984.0,576.0,630,81,2020-04-18
Los Angeles,12299.0,600.0,315,24,2020-04-19
Los Angeles,13787.0,617.0,1488,17,2020-04-20
Los Angeles,15096.0,663.0,1309,46,2020-04-21
Los Angeles,16400.0,729.0,1304,66,2020-04-22
Los Angeles,17548.0,797.0,1148,68,2020-04-23
Los Angeles,18553.0,848.0,1005,51,2020-04-24
Los Angeles,19144.0,895.0,591,47,2020-04-25
Los Angeles,19570.0,913.0,426,18,2020-04-26
Los Angeles,20456.0,942.0,886,29,2020-04-27
Los Angeles,21029.0,1000.0,573,58,2020-04-28
Los Angeles,22560.0,1056.0,1531,56,2020-04-29
Los Angeles,23284.0,1111.0,724,55,2020-04-30
Los Angeles,24306.0,1172.0,1022,61,2020-05-01
Los Angeles,24955.0,1209.0,649,37,2020-05-02
Los Angeles,25708.0,1229.0,753,20,2020-05-03
Los Angeles,26243.0,1256.0,535,27,2020-05-04
Los Angeles,27867.0,1313.0,1624,57,2020-05-05
Los Angeles,28687.0,1367.0,820,54,2020-05-06
Los Angeles,29544.0,1418.0,857,51,2020-05-07
Los Angeles,30357.0,1468.0,813,50,2020-05-08
Los Angeles,31268.0,1512.0,911,44,2020-05-09
Los Angeles,31711.0,1530.0,443,18,2020-05-10
Los Angeles,32279.0,1569.0,568,39,2020-05-11
Los Angeles,33281.0,1613.0,1002,44,2020-05-12
Los Angeles,34574.0,1659.0,1293,46,2020-05-13
Los Angeles,35427.0,1709.0,853,50,2020-05-14
Los Angeles,36317.0,1755.0,890,46,2020-05-15
